EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_ACCURACY
40	11:54:00	0	0.1000	10.416255960768652	5.342241287231445		0.9098
41	12:15:09	1	0.1000	10.342734152335835	5.362857818603516		0.9083
42	12:36:19	2	0.1000	10.311596813911644	5.33824348449707		0.9091
43	12:57:32	3	0.1000	10.326834522313517	5.360605239868164		0.9089
44	13:18:41	4	0.1000	10.27109145588842	5.3029303550720215		0.9085
45	13:39:49	0	0.0500	9.919166119043494	5.185214996337891		0.9115
46	14:01:06	0	0.0500	9.7164429962225	5.140173435211182		0.9122
47	14:22:17	0	0.0500	9.628434262400944	5.085428714752197		0.9132
48	14:43:34	0	0.0500	9.557688722467333	5.063357353210449		0.9139
49	15:04:49	0	0.0500	9.513694849515275	5.031982421875		0.914
50	15:26:15	0	0.0500	9.47921890888906	5.007386207580566		0.9147
51	15:47:48	0	0.0500	9.441086375989192	4.98665714263916		0.9155
52	16:08:56	1	0.0500	9.367917241343415	5.010206699371338		0.9148
53	16:30:04	0	0.0500	9.354468699318682	4.960159778594971		0.9157
54	16:51:22	1	0.0500	9.295232958164418	4.972082614898682		0.9151
55	17:12:38	2	0.0500	9.300984484467975	4.972426891326904		0.9148
56	17:33:57	3	0.0500	9.281292646731936	4.975923538208008		0.9147
57	17:55:25	0	0.0500	9.234932583447469	4.9310712814331055		0.916
58	18:16:45	0	0.0500	9.220494693484136	4.924646854400635		0.916
59	18:38:02	1	0.0500	9.206751354714347	4.907260894775391		0.9158
60	18:59:13	0	0.0500	9.191337609455092	4.901594161987305		0.9162
61	19:20:41	1	0.0500	9.155646860040374	4.8889851570129395		0.9158
62	19:42:04	0	0.0500	9.153544268286026	4.894896030426025		0.9164
63	20:03:30	0	0.0500	9.102729948630103	4.874129295349121		0.9177
64	20:24:50	1	0.0500	9.127690716413053	4.859216213226318		0.9173
65	20:46:09	2	0.0500	9.076178800321655	4.835086345672607		0.9174
66	21:07:37	3	0.0500	9.043391461145736	4.885233402252197		0.9172
67	21:28:57	4	0.0500	9.056626270829774	4.839151859283447		0.9173
68	21:50:17	0	0.0250	8.849435046510893	4.778801918029785		0.9189
69	22:11:38	1	0.0250	8.791042583297386	4.770750522613525		0.9188
70	22:33:05	0	0.0250	8.737520610488453	4.752305507659912		0.9196
71	22:54:22	1	0.0250	8.720590552290654	4.766315460205078		0.9189
72	23:15:34	2	0.0250	8.682320278238102	4.735114574432373		0.9195
73	23:36:57	0	0.0250	8.688987233178029	4.700587749481201		0.92
74	23:58:17	1	0.0250	8.649747085317811	4.7078070640563965		0.9195
75	00:19:37	2	0.0250	8.635163049536843	4.691561698913574		0.9197
76	00:40:56	0	0.0250	8.635723206831411	4.679108619689941		0.9206
77	01:02:17	0	0.0250	8.602162795860071	4.682106971740723		0.9207
78	01:23:39	1	0.0250	8.613087979684106	4.695791721343994		0.9199
79	01:45:03	2	0.0250	8.569743264981401	4.675381660461426		0.9206
80	02:06:18	3	0.0250	8.546498845785091	4.699150085449219		0.9198
